"badge/id","badge/title","badge/url","category/breadcrumb","category/id","category/name","freeShipping/url","id","labelGroups/0/title","labelGroups/1/title","labelGroups/2/title","labelGroups/3/title","labelGroups/4/title","labelGroups/5/title","labelGroups/6/title","labelGroups/7/title","media/image","media/image300","media/videoCustom","meta/countReview","meta/isImageBlurred","meta/isPortrait","meta/parentID","meta/warehouseID","name","price/discountPercentage","price/number","price/original","price/range","price/text","rating","shop/city","shop/id","shop/name","shop/tier","shop/ttsSellerID","shop/url","stock/maxOrder","stock/minOrder","stock/number","stock/sold","stock/ttsSKUID","ttsProductID","url"
"4","Kab. Tangerang","https://p16-images-comn-sg.tokopedia-static.net/tos-alisg-i-zr7vqa5nfb-sg/img/official_store/badge_os.png~tplv-zr7vqa5nfb-image.image","film-musik/gitar-bass/gitar-elektrik","57","Film & Musik","","13086582183","1rb+ terjual","double_date_4","PreOrder","Hemat s.d  1% Pakai Bonus","Rp1.089.900","Hemat s.d  1% Pakai Bonus","Bisa COD",,"https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/87c749dafedb445bbd3cf075b9d6f723~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1777354917&x-signature=LlxDSwz9CU4qJOi8I6%2Bjmzw1j4g%3D&x-signature-webp=hxhN9%2BlS57iE7yCFS1aBgKpsc9c%3D","https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/87c749dafedb445bbd3cf075b9d6f723~tplv-aphluv4xwc-white-pad-v1:300:300.jpeg?lk3s=97278606&x-expires=1777354917&x-signature=TiDVWGhPJkwL%2BvrAtOpe0jezasY%3D&x-signature-webp=g44b%2Fjnr%2Fo3Os21NkZkcnX75s2U%3D","https://vod-stream.tokopedia.net/view/ttvideo?source=QeEaKL&ttvid=v10c21g50000coh0fmvog65gfri2nhc0","0","false","false","13086582177","13408153","Gitar Elektrik , Gitar Elektrik Anak Dan Dewasa , Gitar Elektrik Pemula , Gitar Elektrik Rock , Gitar Elektrik Profesional","0","1089900","Rp1.168.700","","Rp1.089.900","4.7","Kab. Tangerang","13508388","Benston Music","2","7495671279332723121","https://www.tokopedia.com/benstonmusic","458","1","458","1897","1729602007747495345","1729602096687252913","https://www.tokopedia.com/benstonmusic/benston-music-gitar-elektrik-gitar-elektrik-anak-dan-dewasa-gitar-elektrik-pemula-gitar-elektrik-rock-gitar-elektrik-profesional-warna-oranye-6a17c"
"2","Jakarta Barat",,"film-musik/gitar-bass/gitar-elektrik","57","Film & Musik",,"424712783","100+ terjual","double_date_4","Rp775.000",,,,,,"https://p19-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/img/VqbcmM/2021/9/15/ba7fbe99-ba23-47b1-a01f-6214494e298c.jpg~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1777354917&x-signature=p%2Fb%2BQ83hqET1l0FPgVYNBXvZl3U%3D&x-signature-webp=4joY4hPfaRa%2BnDmkD0lWREfxltc%3D","https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/img/VqbcmM/2021/9/15/ba7fbe99-ba23-47b1-a01f-6214494e298c.jpg~tplv-aphluv4xwc-white-pad-v1:300:300.jpeg?lk3s=97278606&x-expires=1777354917&x-signature=rFc%2BSzsDbVqxQz7YSs%2BiOP8QcbA%3D&x-signature-webp=sHohVHXts7bVMmXT4aCQAhGz0P0%3D",,,,,,"341106","Gitar Elektrik Ibanez JEM Bonus Tas dan Kabel Jack Murah Jakarta",,"775000","Rp799.000",,"Rp775.000","4.9","Jakarta Barat","440273","Toko Gitar Jakarta Official","1","7495811584458918464","https://www.tokopedia.com/gitarjakarta","99869","1","99869","159","1729812676487317056","1729812676487251520","https://www.tokopedia.com/gitarjakarta/gitar-elektrik-ibanez-jem-bonus-tas-dan-kabel-jack-murah-jakarta"
"4","Jakarta Barat","https://p16-images-comn-sg.tokopedia-static.net/tos-alisg-i-zr7vqa5nfb-sg/img/official_store/badge_os.png~tplv-zr7vqa5nfb-image.image","film-musik/gitar-bass/gitar-elektrik","57","Film & Musik",,"100709793175","80+ terjual","double_date_4","Hemat s.d 1% Pakai Bonus","26%","Rp1.554.000","Hemat s.d 1% Pakai Bonus",,,"https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/5c1a77f77e044b6485aa1c02c1b566e2~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1777354917&x-signature=HQy4HeT3bczj7QsalmQVQLJ31RM%3D&x-signature-webp=WLyIyB2XHm5ySyREVXvXA6XJRXI%3D","https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/5c1a77f77e044b6485aa1c02c1b566e2~tplv-aphluv4xwc-white-pad-v1:300:300.jpeg?lk3s=97278606&x-expires=1777354917&x-signature=psqY6Efug7zuds%2FshDA%2Fa%2BO6i5w%3D&x-signature-webp=SCAIxYzk9GQVvvvMK%2FGfIp%2F1Lhc%3D","https://vod-stream.tokopedia.net/view/ttvideo?source=QeEaKL&ttvid=v10c21g50000d1jnsonog65rrca8rcg0",,,,,"16374488","Donner DST - 80 Gitar Elektrik with Bag - Sunburst EC7254",,"1554000","Rp2.100.000",,"Rp1.554.000","4.9","Jakarta Barat","16547891","Donner Official Store","2","7495313222517492495","https://www.tokopedia.com/donner-official-store","9","1","9","83","1731847652777166607","1731847656801797903","https://www.tokopedia.com/donner-official-store/donner-dst-80-gitar-elektrik-with-bag-sunburst-ec7254-1731847656801797903"
"2","Jakarta Barat",,"film-musik/gitar-bass/gitar-elektrik","57","Film & Musik",,"4905974288","100+ terjual","double_date_4","Rp1.199.000",,,,,,"https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/f48437b429c04e208a51b437ac58fdf0~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1777354917&x-signature=PmcVRiZsrw1h9pzxENkxIZYslGA%3D&x-signature-webp=1xXLjUSi7DmcbS4sTteaQtN0X0k%3D","https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/f48437b429c04e208a51b437ac58fdf0~tplv-aphluv4xwc-white-pad-v1:300:300.jpeg?lk3s=97278606&x-expires=1777354917&x-signature=FMoX0cU0Xv5taF%2F%2FjTL%2BPg%2BEbBU%3D&x-signature-webp=rsSESX3XqDcxrWSNVtkpZ4vzqVg%3D",,,,,"4905974258","341106","Gitar Elektrik Merk Gibson Les Paul Warna Sunbrust Cherry LesPaul",,"1199000",,,"Rp1.199.000","4.7","Jakarta Barat","440273","Toko Gitar Jakarta Official","1","7495811584458918464","https://www.tokopedia.com/gitarjakarta","55","1","55","104","1729984234233562688","1729984234233431616","https://www.tokopedia.com/gitarjakarta/gitar-elektrik-merk-gibson-les-paul-warna-sunbrust-cherry-lespaul-sunburst-cherry"
"2","Kab. Sleman",,"film-musik/gitar-bass/gitar-elektrik","57","Film & Musik",,"100325829748","90+ terjual","double_date_4","Hemat s.d 1% Pakai Bonus","14%","Rp1.499.500","Hemat s.d 1% Pakai Bonus",,,"https://p19-images-common-sign-sg.tokopedia-static.net/tos-maliva-i-o3syd03w52-us/01e4a878402942f584213d9e3123f0f2~tplv-o3syd03w52-resize-jpeg:200:200.jpeg?lk3s=97278606&x-expires=1777354917&x-signature=KIdUwlNoi3QuI3JlKzjIo4M61SY%3D&x-signature-webp=1lW7lyIXcDukXWkYQZbdSBKzQ%2BA%3D","https://p16-images-common-sign-sg.tokopedia-static.net/tos-maliva-i-o3syd03w52-us/01e4a878402942f584213d9e3123f0f2~tplv-o3syd03w52-resize-jpeg:300:300.jpeg?lk3s=97278606&x-expires=1777354917&x-signature=U%2FOwxilc7iIBStEyz%2B5s0UQV5Xc%3D&x-signature-webp=JdXoR7kOe4%2FFaaQv9t6%2BUi4eA9w%3D",,,,,"100325829747","18761636","Gitar Elektrik Ibanez RG Seri Up Down Custom Listrik FREE Packing Kayu gitar elektrik murah gitar listrik viral gitar elektrik ibanez gitar titok gitar band cafe kafe",,"1499500","Rp1.749.500",,"Rp1.499.500","4.6","Kab. Sleman","7494956723600854000","Rockindojogja","1","7494956723600853529","https://www.tokopedia.com/rockindojogja-712","10","1","10","90","1729704430610123289","1729680998541265433","https://www.tokopedia.com/rockindojogja-712/gitar-elektrik-ibanez-rg-series-up-down-custom-listrik-body-alder-neck-mapel-6-senar-warna-black-free-packing-kayu-1729704430610123289"
"3","Jakarta Selatan","https://p16-images-comn-sg.tokopedia-static.net/tos-alisg-i-zr7vqa5nfb-sg/img/goldmerchant/pm_activation/badge/Power%20Merchant%20Pro.png~tplv-zr7vqa5nfb-image.image","film-musik/gitar-bass/gitar-elektrik","57","Film & Musik",,"16686043742","40+ terjual","double_date_4","Hemat s.d 1% Pakai Bonus","Rp2.000.000","Hemat s.d 1% Pakai Bonus","Bisa COD",,,"https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/img/VqbcmM/2025/5/28/323ad515-e511-460f-8ec2-10dd728f5509.png~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1777354917&x-signature=pWdxwTSLt5I4naqtVfYvjsDPEHI%3D&x-signature-webp=IaVyiHq7neXTYQIqoSeiwx9w8J0%3D","https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/img/VqbcmM/2025/5/28/323ad515-e511-460f-8ec2-10dd728f5509.png~tplv-aphluv4xwc-white-pad-v1:300:300.jpeg?lk3s=97278606&x-expires=1777354917&x-signature=vHPaUpAjWWaHwzA9yqLbefNSxGo%3D&x-signature-webp=Ml8G%2FBBpyM4dpcOD0Tr3px%2B2hTA%3D",,,,,,"8287117","Donner DST-80 Electric Guitar - Matte Black",,"2000000",,,"Rp2.000.000","5.0","Jakarta Selatan","8091204","GALERI MUSIK SIMFONI PIM","3","7495816580645358038","https://www.tokopedia.com/galerimusiksimfo","2","1","2","40","1731527729452713430","1731527729452647894","https://www.tokopedia.com/galerimusiksimfo/donner-dst-80-electric-guitar-matte-black-1731527729452647894"
"2","Jakarta Barat",,"film-musik/gitar-bass/gitar-elektrik","57","Film & Musik",,"8643051951","1 terjual","double_date_4","Hemat s.d 1% Pakai Bonus","Rp1.800.000","Hemat s.d 1% Pakai Bonus",,,,"https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/img/VqbcmM/2023/3/20/d1c866b3-aa40-4748-a00a-62f2fd22a0a3.jpg~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1777354917&x-signature=qZgGqkmV2Om4ujsor1%2BWcQ0VtX4%3D&x-signature-webp=GmzSE3De7eYYDTum%2Fg8hoWtlF7s%3D","https://p19-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/img/VqbcmM/2023/3/20/d1c866b3-aa40-4748-a00a-62f2fd22a0a3.jpg~tplv-aphluv4xwc-white-pad-v1:300:300.jpeg?lk3s=97278606&x-expires=1777354917&x-signature=%2BfI5q1Cea1SZLUdJoFdmXdYvj3U%3D&x-signature-webp=ZUsnocZQVzWedaRszLyF3J0RLPM%3D",,,,,"8643051950","7330370","Gitar elektrik washbrun original",,"1800000",,,"Rp1.800.000",,"Jakarta Barat","7123130","toko gitar riki music","1","7495481849757338466","https://www.tokopedia.com/rikimusic","1","1","1","1","1732085560787306338","1732085560787240802","https://www.tokopedia.com/rikimusic/gitar-elektrik-washbrun-original-biru-tidak-pack-kayu-dd3a0"
"2","Jakarta Barat",,"film-musik/gitar-bass/gitar-elektrik","57","Film & Musik",,"435604196","40+ terjual","double_date_4","Rp550.000",,,,,,"https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/img/VqbcmM/2021/10/19/f761b465-29af-4bef-94f1-7082d5247e56.jpg~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1777354917&x-signature=%2BYN5CJOcN%2FBMTIfBxMVXAvCK53s%3D&x-signature-webp=nAb%2BJw%2BLY52AHT5uk7H8k%2FMdZzk%3D","https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/img/VqbcmM/2021/10/19/f761b465-29af-4bef-94f1-7082d5247e56.jpg~tplv-aphluv4xwc-white-pad-v1:300:300.jpeg?lk3s=97278606&x-expires=1777354917&x-signature=JzNo%2B6oNPS4anK6qYySuwwcApu4%3D&x-signature-webp=APaoijHjMYxCXSBQ9NwZ6xTiDAI%3D",,,,,,"341106","Gitar Elektrik Schecter Bonus Tas dan Kabel Jack Murah Jakarta",,"550000",,,"Rp550.000","4.8","Jakarta Barat","440273","Toko Gitar Jakarta Official","1","7495811584458918464","https://www.tokopedia.com/gitarjakarta","99954","1","99954","49","1729812968018511424","1729812968018445888","https://www.tokopedia.com/gitarjakarta/gitar-elektrik-schecter-bonus-tas-dan-kabel-jack-murah-jakarta"
"2","Kab. Sukoharjo",,"film-musik/gitar-bass/strap-gitar","57","Film & Musik",,"100315339948","13 terjual","double_date_4","Hemat s.d 1% Pakai Bonus","Rp959.000","Hemat s.d 1% Pakai Bonus",,,,"https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/ddf3f893b20b469fb45f5d84b6267487~tplv-aphluv4xwc-white-pad-v1:200:200.jpeg?lk3s=97278606&x-expires=1777354917&x-signature=NknKbnJPvuuRBAF9fNMOhqsdIcs%3D&x-signature-webp=bmUA%2BOosJjaqo9WD6Ula2tPA5Vk%3D","https://p16-images-sign-sg.tokopedia-static.net/tos-alisg-i-aphluv4xwc-sg/ddf3f893b20b469fb45f5d84b6267487~tplv-aphluv4xwc-white-pad-v1:300:300.jpeg?lk3s=97278606&x-expires=1777354917&x-signature=6MP8bcR8rlUG05LURA786AFmlZo%3D&x-signature-webp=ZHOYI2nTW332RW%2F1DUDujXQPTfM%3D",,,,,,"18751846","GITAR ELEKTRIK ORIGINAL DIFERGIO FENDER STRATOCASTER",,"959000",,,"Rp959.000","4.3","Kab. Sukoharjo","7494527090492410000","OVERHEAD GTR","1","7494527090492410064","https://www.tokopedia.com/overhead-gtr","10","1","10","13","1729780743013696720","1729780736662930640","https://www.tokopedia.com/overhead-gtr/gitar-elektrik-original-difergio-fender-stratocaster-1729780736662930640"
"2","Kab. Sukoharjo",,"film-musik/gitar-bass/gitar-elektrik","57","Film & Musik",,"100143185924","29 terjual","double_date_4","Hemat s.d 1% Pakai Bonus","Rp750.000","Hemat s.d 1% Pakai Bonus",,,,"https://p19-images-common-sign-sg.tokopedia-static.net/tos-maliva-i-o3syd03w52-us/2d5e70bb20e5445a8fec75d08fd90976~tplv-o3syd03w52-resize-jpeg:200:200.jpeg?lk3s=97278606&x-expires=1777354917&x-signature=8pUyFu0%2F6Rw8bkqWHL0nsoPGd0g%3D&x-signature-webp=blaJCZMDFTfwYHZ%2FzNYawOMWlRA%3D","https://p16-images-common-sign-sg.tokopedia-static.net/tos-maliva-i-o3syd03w52-us/2d5e70bb20e5445a8fec75d08fd90976~tplv-o3syd03w52-resize-jpeg:300:300.jpeg?lk3s=97278606&x-expires=1777354917&x-signature=WIDBy519hNVdIM%2BfT80uB83oOIg%3D&x-signature-webp=93pbFcLI7yL6badRO0FSWRFdjQU%3D",,,,,"100143185922","18424832","gitar elektrik FENDER (BONUS PEKING KAYU)",,"750000",,,"Rp750.000","3.3","Kab. Sukoharjo","7494859142929878000","Toko Barokah Gitar","1","7494859142929877929","https://www.tokopedia.com/toko-barokah-gitar","101","1","101","29","1729896734930930601","1729896731711933353","https://www.tokopedia.com/toko-barokah-gitar/gitar-elektrik-fender-bonus-peking-kayu-1729896734930930601"
